id,categoria,nivel,tags,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,cita_biblica
17,Milagros,intermedio,milagro,¿Qué profeta fue llevado al cielo en un carro y caballos de fuego?,Eliseo,Elías,Isaías,Ezequiel,B,"Mientras Elías y Eliseo caminaban, un carro y caballos de fuego los separaron y Elías subió al cielo en un torbellino.",2 Reyes 2:11
18,Personajes,intermedio,llamado,¿Cuál era el oficio de Mateo antes de ser llamado por Jesús?,Pescador,Cobrador de impuestos,Sacerdote,Pastor de ovejas,B,Mateo (también llamado Leví) estaba sentado en el banco de los tributos públicos cuando Jesús lo llamó.,Mateo 9:9
19,Personajes,intermedio,sabiduria-providencia,¿Quién interpretó los sueños del Faraón sobre las siete vacas gordas y flacas?,Moisés,Daniel,José,Salomón,C,José interpretó los sueños de Faraón anunciando siete años de abundancia seguidos de siete años de hambre.,Génesis 41:25-32
20,Profecías,intermedio,profecia-exilio,¿En qué isla estaba desterrado el apóstol Juan cuando escribió el Apocalipsis?,Chipre,Patmos,Creta,Malta,B,Juan estaba en la isla llamada Patmos por causa de la palabra de Dios cuando recibió la revelación.,Apocalipsis 1:9
21,Números y datos curiosos,intermedio,exodo,¿Cuántos años vivieron los israelitas como esclavos en Egipto antes del éxodo?,400 años,430 años,250 años,70 años,B,El tiempo que los hijos de Israel habitaron en Egipto fue de cuatrocientos treinta años.,Éxodo 12:40
22,Personajes,intermedio,fuerza-desobediencia,¿Qué juez de Israel perdió su fuerza al ser rapado su cabello?,Gedeón,Sansón,Barac,Aod,B,"Sansón reveló el secreto de su fuerza a Dalila, y al cortarle el cabello mientras dormía, su fuerza lo abandonó.",Jueces 16:19
23,Personajes,intermedio,liderazgo,¿Quién sucedió a Moisés como líder de Israel para entrar a la tierra prometida?,Caleb,Aarón,Josué,Finees,C,"Después de la muerte de Moisés, Dios llamó a Josué para que guiara al pueblo a la tierra prometida.",Josué 1:1-2
24,Personajes,intermedio,amor,¿Qué apóstol es descrito en el evangelio como 'el discípulo a quien Jesús amaba'?,Pedro,Andrés,Juan,Bartolomé,C,"En el evangelio de Juan, el propio autor se refiere a sí mismo como el discípulo amado de Jesús.",Juan 13:23
25,Geografía,intermedio,arrepentimiento-misericordia,¿En qué ciudad predicó Jonás un mensaje de arrepentimiento?,Nínive,Babilonia,Tarsis,Damasco,A,"Jonás entró en Nínive proclamando que en cuarenta días la ciudad sería destruida, y sus habitantes se arrepintieron.",Jonás 3:2-5
26,Milagros,intermedio,milagro-gloria,"¿Cuál fue el primer milagro público de Jesús, realizado en unas bodas?",Sanar a un ciego,Convertir agua en vino,Multiplicar los panes,Calmar la tempestad,B,"En las bodas de Caná de Galilea, Jesús convirtió el agua en vino, y así manifestó su gloria.",Juan 2:1-11
27,Personajes,intermedio,sabiduria,¿Qué reina viajó desde su tierra para probar la sabiduría de Salomón?,La reina Ester,La reina de Sabá,La reina Vasti,La reina Jezabel,B,"La reina de Sabá, al oír de la fama de Salomón, vino a probarlo con preguntas difíciles.",1 Reyes 10:1
28,Milagros,intermedio,milagro-provision,¿Con cuántos panes y peces alimentó Jesús a cerca de 5000 hombres?,5 panes y 2 peces,7 panes y 3 peces,2 panes y 5 peces,3 panes y 2 peces,A,Jesús tomó los cinco panes y los dos peces que tenía un muchacho y con ellos alimentó a la multitud.,Mateo 14:17-21; Juan 6:9
29,Doctrina básica,intermedio,doctrina-mision,¿Qué apóstol escribió la mayor parte de las epístolas del Nuevo Testamento?,Pedro,Santiago,Pablo,Judas,C,El apóstol Pablo escribió trece de las epístolas del Nuevo Testamento dirigidas a iglesias y personas.,"Romanos 1:1; 1 Corintios 1:1, entre otras"
30,Profecías,intermedio,profecia-encarnacion,¿Qué significa el nombre profético 'Emmanuel' dado a Jesús?,Salvador del mundo,Dios con nosotros,Príncipe de paz,Rey de reyes,B,"El profeta anunció que la virgen concebiría un hijo llamado Emmanuel, que traducido es 'Dios con nosotros'.",Mateo 1:23; Isaías 7:14
31,Personajes,avanzado,juicio,¿Quién era el sumo sacerdote ante quien fue llevado Jesús para ser juzgado?,Anás,Caifás,Gamaliel,Ananías,B,"Jesús fue llevado ante Caifás, el sumo sacerdote, donde los principales sacerdotes buscaban falso testimonio contra él.",Mateo 26:57
32,Profecías,avanzado,profecia-reinos,¿Qué rey de Babilonia tuvo el sueño de la gran estatua con cabeza de oro?,Belsasar,Ciro,Nabucodonosor,Darío,C,Nabucodonosor soñó con una estatua de varios metales que Daniel interpretó como los reinos venideros.,Daniel 2:31-35
33,Personajes,avanzado,conversion,¿Cuál era el nombre original del apóstol Pablo antes de su conversión?,Silas,Bernabé,Saulo,Tito,C,"Pablo, conocido inicialmente como Saulo, perseguía a la iglesia hasta su encuentro con Cristo en el camino a Damasco.",Hechos 9:1-4; 13:9
34,Profecías,avanzado,profecia-pacto,¿Qué profeta se casó con una mujer infiel por mandato de Dios como señal simbólica para Israel?,Amós,Oseas,Joel,Miqueas,B,Dios mandó a Oseas tomar una mujer fornicaria como imagen del pacto roto entre Israel y Jehová.,Oseas 1:2-3
35,Números y datos curiosos,avanzado,reinado,¿Cuántos años reinó Salomón sobre todo Israel?,20 años,40 años,33 años,70 años,B,El texto bíblico registra que Salomón reinó en Jerusalén sobre todo Israel durante cuarenta años.,1 Reyes 11:42
36,Personajes,avanzado,sacerdocio,¿Quién fue el padre de Juan el Bautista?,Zacarías,Simeón,Elí,Aarón,A,"Zacarías, un sacerdote, recibió del ángel Gabriel el anuncio del nacimiento de su hijo Juan.",Lucas 1:13
37,Geografía,avanzado,geografia-batalla,¿En qué valle se enfrentaron David y Goliat?,Valle de Ela,Valle de Jezreel,Valle de Cedrón,Valle de Sorec,A,El ejército filisteo y el de Israel estaban acampados a ambos lados del valle de Ela cuando ocurrió el duelo.,"1 Samuel 17:2,19"
38,Personajes,avanzado,persecucion-sufrimiento,¿En qué ciudad fue apedreado Pablo y dado por muerto?,Iconio,Listra,Derbe,Antioquía,B,"En Listra, unos judíos persuadieron a la multitud y apedrearon a Pablo, arrastrándolo fuera de la ciudad creyéndolo muerto.",Hechos 14:19-20
39,Personajes,avanzado,codicia-juicio,¿Cómo se llamaba el siervo de Eliseo que codició los regalos que Naamán quiso darle al profeta?,Giezi,Baruc,Ebed-melec,Nabal,A,"Giezi corrió tras Naamán y le mintió para obtener plata y vestidos, por lo cual la lepra de Naamán vino sobre él.",2 Reyes 5:20-27
40,Doctrina básica,avanzado,pacto-identidad,¿Qué significa el nuevo nombre 'Israel' que Dios dio a Jacob tras luchar con él?,Bendecido por Dios,El que lucha con Dios,Padre de multitudes,Escogido de Dios,B,"Tras luchar toda la noche con el ángel, Jacob recibió el nombre de Israel, relacionado con luchar o contender con Dios.",Génesis 32:28
41,Personajes,avanzado,martirio-fe,¿Quién es reconocido como el primer mártir cristiano en el libro de los Hechos?,Santiago,Esteban,Felipe,Bernabé,B,"Esteban, lleno del Espíritu Santo, fue apedreado por el Sanedrín mientras encomendaba su espíritu al Señor.",Hechos 7:59-60
42,Números y datos curiosos,avanzado,juicio-liberacion,¿Cuántas plagas envió Dios sobre Egipto antes de que Faraón dejara salir a Israel?,7,10,12,3,B,"Dios envió diez plagas sucesivas sobre Egipto, culminando con la muerte de los primogénitos, hasta que Faraón dejó salir al pueblo.",Éxodo 7-12
43,Milagros,avanzado,provision-fe,¿Qué profeta fue alimentado por cuervos junto al arroyo de Querit?,Eliseo,Elías,Miqueas,Abdías,B,"Por mandato de Dios, los cuervos le traían pan y carne a Elías por la mañana y por la tarde junto al arroyo de Querit.",1 Reyes 17:4-6
44,Milagros,avanzado,gloria-revelacion,"Durante la transfiguración de Jesús, ¿qué dos personajes del Antiguo Testamento aparecieron hablando con él?",Abraham y David,Moisés y Elías,Elías y Eliseo,Moisés y Josué,B,"En el monte, Jesús se transfiguró y aparecieron Moisés y Elías conversando con él ante Pedro, Jacobo y Juan.",Mateo 17:1-3
45,Personajes,avanzado,voto-consecuencias,¿Qué juez de Israel hizo un voto imprudente que terminó afectando la vida de su propia hija?,Jefté,Gedeón,Tola,Elón,A,"Jefté prometió ofrecer a Jehová lo primero que saliera de su casa si vencía, y fue su hija quien salió a recibirlo.",Jueces 11:30-39
46,Milagros,experto,sanidad-fe,¿Cómo se llamaba el general sirio sanado de lepra por el profeta Eliseo?,Naamán,Ben-adad,Hazael,Rezín,A,"Naamán, general del ejército de Siria, fue sanado de su lepra al sumergirse siete veces en el Jordán por instrucción de Eliseo.","2 Reyes 5:1,14"
47,Personajes,experto,sanidad-oracion,"¿Qué rey de Judá, enfermo de muerte, oró y recibió quince años más de vida?",Josafat,Ezequías,Joás,Amasías,B,"Ezequías lloró y oró a Jehová, quien le respondió por medio de Isaías añadiendo quince años a su vida.",2 Reyes 20:1-6
48,Personajes,experto,evangelismo,"Según Hechos 8, ¿qué cargo ocupaba el hombre etíope al que Felipe evangelizó en el camino a Gaza?",Sumo sacerdote de Etiopía,Tesorero de la reina Candace,Gobernador romano,Escriba del templo,B,"El texto identifica al hombre como un eunuco etíope, funcionario de Candace reina de los etíopes, encargado de todos sus tesoros; su nombre no se menciona.",Hechos 8:27
49,Profecías,experto,profecia-mesias,¿Qué profeta menor anunció que el Mesías nacería en Belén de Efrata?,Nahúm,Miqueas,Sofonías,Hageo,B,"Miqueas profetizó que de Belén Efrata saldría el que sería Señor en Israel, cuyas salidas son desde el principio.",Miqueas 5:2
50,Doctrina básica,experto,canon,¿Cuántos libros componen el Antiguo Testamento según el canon protestante?,36,39,46,24,B,"El canon protestante del Antiguo Testamento reconoce treinta y nueve libros, desde Génesis hasta Malaquías.",Referencia canónica general
51,Profecías,experto,profecia-escatologia,¿En qué libro y capítulo se menciona el nombre 'Armagedón' como lugar de la batalla final?,Daniel 12,Apocalipsis 16,Ezequiel 38,Zacarías 14,B,Apocalipsis menciona que los espíritus reunieron a los reyes en el lugar llamado en hebreo Armagedón.,Apocalipsis 16:16
52,Personajes,experto,restauracion-ley,"¿Qué escriba leyó la ley al pueblo tras el regreso del exilio, junto a Nehemías?",Esdras,Zorobabel,Hagai,Malaquías,A,Esdras el escriba trajo la ley delante de la congregación y la leyó desde el amanecer hasta el mediodía.,Nehemías 8:1-4
53,Profecías,experto,liberacion-providencia,¿Qué rey persa emitió el decreto que permitió el regreso de los judíos del exilio babilónico?,Darío,Ciro,Asuero,Artajerjes,B,"En el primer año de Ciro rey de Persia, Jehová movió su espíritu para que proclamara la reconstrucción del templo en Jerusalén.",Esdras 1:1-2
54,Personajes,experto,revelacion-mision,¿Qué apóstol tuvo la visión de un lienzo con animales que le enseñó que el evangelio también era para los gentiles?,Pablo,Pedro,Juan,Felipe,B,"Pedro vio en visión un gran lienzo descender del cielo con toda clase de animales, enseñándole a no llamar impuro lo que Dios ha limpiado.",Hechos 10:9-15
55,Personajes,experto,fe-testimonio,¿Quién le sugirió a Naamán que buscara al profeta de Israel para ser sanado de lepra?,Su esposa,Una muchacha israelita cautiva que servía en su casa,El rey de Siria,Un sacerdote sirio,B,"Una joven israelita cautiva, sierva de la esposa de Naamán, contó que había un profeta en Samaria que podía sanarlo; su nombre no se registra.",2 Reyes 5:2-3
56,Profecías,experto,profecia-restauracion,¿Qué profeta tuvo la visión del valle de los huesos secos que volvían a la vida?,Jeremías,Ezequiel,Daniel,Isaías,B,"Ezequiel fue llevado en visión a un valle lleno de huesos secos, y profetizó por mandato de Dios hasta que revivieron.",Ezequiel 37:1-10
57,Personajes,experto,reforma-ley,¿Qué sacerdote encontró el libro de la ley perdido durante las reparaciones del templo en tiempos de Josías?,Hilcías,Safán,Semaías,Urías,A,El sumo sacerdote Hilcías halló el libro de la ley en la casa de Jehová y se lo hizo saber al escriba Safán.,2 Reyes 22:8
58,Números y datos curiosos,experto,adoracion-poesia,"¿Qué indica probablemente el término hebreo 'Selah', frecuente en los Salmos?",El nombre de un instrumento musical,Una pausa musical o de reflexión,El nombre de un salmista,Una medida de tiempo,B,"Aunque su significado exacto no es seguro, los eruditos generalmente entienden 'Selah' como una indicación de pausa musical o meditación.","Salmos 3:2, entre otros"
59,Geografía,experto,fe-sacrificio,¿En qué monte estuvo Abraham dispuesto a ofrecer a Isaac en sacrificio?,Sinaí,Moriah,Nebo,Carmelo,B,Dios le pidió a Abraham llevar a su hijo Isaac a la tierra de Moriah y ofrecerlo en holocausto en uno de los montes allí.,Génesis 22:2
60,Personajes,experto,idolatria-apostasia,¿Qué rey de Israel se casó con Jezabel e introdujo la adoración a Baal en el reino?,Jeroboam,Acab,Omri,Joram,B,"Acab tomó por esposa a Jezabel, hija del rey de los sidonios, y sirvió a Baal, haciendo lo malo ante los ojos de Jehová más que todos los reyes anteriores.",1 Reyes 16:30-31
61,Genealogías,principiante,genealogia-familia,¿Quién fue el primer hijo de Adán y Eva?,Abel,Caín,Set,Enoc,B,"Eva concibió y dio a luz a Caín, su primogénito, antes de Abel.",Génesis 4:1
62,Doctrina básica,principiante,pecado-caida,¿Cuál fue el pecado que Adán y Eva cometieron en el Edén?,Mentir a Dios,Comer del fruto prohibido,Matar a un animal,Desobedecer a un ángel,B,"Adán y Eva comieron del fruto del árbol del conocimiento del bien y del mal, que Dios les había prohibido.",Génesis 3:6
63,Personajes,principiante,pecado-juicio,¿Quién mató a su hermano Abel por celos?,Set,Caín,Enós,Lamec,B,"Caín, celoso porque Dios miró con agrado la ofrenda de Abel, lo mató en el campo.",Génesis 4:8
64,Genealogías,principiante,numeros-familia,"¿Cuántos hijos tuvo Jacob, quienes dieron origen a las doce tribus de Israel?",10,12,14,7,B,"Jacob tuvo doce hijos, cuyos nombres corresponden a las doce tribus de Israel.",Génesis 35:22-26
65,Personajes,principiante,providencia,¿Quién fue vendido como esclavo por sus propios hermanos?,Benjamín,Rubén,José,Judá,C,"Por envidia, los hermanos de José lo vendieron a unos mercaderes ismaelitas que lo llevaron a Egipto.",Génesis 37:28
66,Geografía,principiante,bautismo,¿En qué río fue bautizado Jesús?,Éufrates,Jordán,Nilo,Tigris,B,"Jesús vino de Galilea a Juan, al río Jordán, para ser bautizado por él.",Mateo 3:13
67,Personajes,principiante,bautismo,¿Quién bautizó a Jesús en el río Jordán?,El apóstol Pedro,Juan el Bautista,El profeta Elías,Nicodemo,B,"Juan el Bautista bautizó a Jesús, y en ese momento el Espíritu de Dios descendió como paloma sobre él.",Mateo 3:13-17
68,Doctrina básica,principiante,amor-mandamiento,"Según Jesús, ¿cuál es el mandamiento más grande?",No robarás,Amar a Dios con todo el corazón,Honrar a los padres,Guardar el sábado,B,"Jesús respondió que el mandamiento más grande es amar al Señor con todo el corazón, alma y mente.",Mateo 22:37-38
69,Personajes,principiante,fe-liberacion,¿Quién fue arrojado al foso de los leones por orar a Dios?,Ezequiel,Daniel,Jeremías,Elías,B,"Daniel fue echado al foso de los leones por seguir orando a Dios a pesar del decreto real, y Dios lo protegió.",Daniel 6:16-22
70,Números y datos curiosos,principiante,longevidad,¿Quién es la persona más longeva mencionada en la Biblia?,Noé,Adán,Matusalén,Set,C,"Matusalén vivió novecientos sesenta y nueve años, siendo la persona de mayor edad registrada en la Biblia.",Génesis 5:27
71,Milagros,principiante,fe-milagro,¿Qué apóstol caminó sobre el agua junto a Jesús antes de comenzar a hundirse?,Juan,Pedro,Andrés,Santiago,B,"Pedro caminó sobre las aguas hacia Jesús, pero al ver el viento tuvo miedo y comenzó a hundirse.",Mateo 14:28-30
72,Milagros,principiante,senal,¿Quién convirtió su vara en serpiente delante de Faraón como señal?,Josué,"Aarón, por mandato de Moisés",Samuel,Elías,B,"Por mandato de Dios a Moisés, Aarón arrojó su vara delante de Faraón y esta se convirtió en serpiente.",Éxodo 7:9-10
73,Genealogías,principiante,pacto-familia,¿Cómo se llamaba la esposa de Abraham?,Rebeca,Sara,Lea,Raquel,B,"Sara fue la esposa de Abraham y madre de Isaac, el hijo de la promesa.",Génesis 17:15
74,Personajes,principiante,fe-duda,¿Qué apóstol dudó de la resurrección de Jesús hasta ver las heridas en sus manos?,Felipe,Tomás,Bartolomé,Judas (no el Iscariote),B,"Tomás dijo que no creería a menos que viera las heridas de los clavos, y Jesús se le apareció para confirmarlo.",Juan 20:24-28
75,Personajes,principiante,familia-jesus,¿Cómo se llamaba la madre de Jesús?,Marta,Ana,María,Elisabet,C,"María fue la madre de Jesús, virgen que concibió por obra del Espíritu Santo.",Lucas 1:26-31
76,Milagros,principiante,resurreccion,¿Quién resucitó a Lázaro después de cuatro días de muerto?,Pedro,Jesús,Juan el Bautista,Pablo,B,"Jesús llamó a Lázaro a salir de la tumba, y este resucitó a pesar de llevar cuatro días muerto.",Juan 11:43-44
77,Genealogías,principiante,numeros-familia,"¿Cuántos hermanos tenía José en total, incluyéndolo a él?",10,12,7,9,B,"José era uno de los doce hijos de Jacob, por lo que tenía once hermanos.",Génesis 35:22-26; 37:2
78,Personajes,principiante,musica,¿Qué instrumento tocaba David para calmar el espíritu atormentado del rey Saúl?,La trompeta,El arpa,La flauta,El tambor,B,"David tocaba el arpa, y así Saúl era refrescado y el espíritu malo se apartaba de él.",1 Samuel 16:23
79,Personajes,principiante,liberacion,¿Quién condujo al pueblo de Israel fuera de la esclavitud de Egipto?,Aarón,Moisés,Josué,Caleb,B,Dios usó a Moisés para sacar a los israelitas de Egipto tras las diez plagas.,Éxodo 12:51
80,Geografía,principiante,crucifixion,¿En qué ciudad fue crucificado Jesús?,Belén,Nazaret,Jerusalén,Jericó,C,"Jesús fue llevado al lugar llamado Gólgota, cerca de Jerusalén, donde fue crucificado.",Juan 19:17-18
81,Doctrina básica,principiante,autoria,¿Quién escribió el libro de Apocalipsis?,Pedro,Juan,Pablo,Santiago,B,"El apóstol Juan, estando desterrado en Patmos, recibió y escribió la revelación de Jesucristo.","Apocalipsis 1:1,4,9"
82,Números y datos curiosos,principiante,negacion,¿Cuántas veces negó Pedro conocer a Jesús antes de que cantara el gallo?,1,2,3,4,C,"Tal como Jesús predijo, Pedro lo negó tres veces antes de que el gallo cantara.","Mateo 26:34,75"
83,Personajes,principiante,sabiduria,¿Qué rey pidió a Dios sabiduría en lugar de riquezas o larga vida?,David,Salomón,Ezequías,Josías,B,"Salomón pidió a Dios un corazón entendido para gobernar al pueblo, y Dios se lo concedió junto con riquezas y honra.",1 Reyes 3:9-12
84,Personajes,principiante,fe-liberacion,¿Quiénes fueron lanzados a un horno de fuego por no adorar la estatua del rey Nabucodonosor?,Daniel y sus amigos,"Sadrac, Mesac y Abed-nego",Esdras y Nehemías,Ananías y Safira,B,"Sadrac, Mesac y Abed-nego fueron arrojados al horno de fuego por negarse a adorar la imagen de oro, y Dios los libró ilesos.",Daniel 3:19-27
85,Personajes,principiante,llamado,¿Qué apóstol era pescador junto con su hermano Andrés antes de seguir a Jesús?,Juan,Pedro (Simón),Felipe,Mateo,B,"Jesús vio a Simón, llamado Pedro, y a su hermano Andrés pescando, y los llamó a seguirle.",Mateo 4:18-19
86,Parábolas,intermedio,misericordia-restauracion,¿Cómo se conoce la parábola en la que un padre recibe con alegría al hijo que había derrochado su herencia?,La oveja perdida,El hijo pródigo,El sembrador,El buen samaritano,B,Jesús contó la parábola del hijo pródigo para mostrar el amor y perdón del padre hacia el hijo que regresa arrepentido.,Lucas 15:11-32
87,Parábolas,intermedio,numeros-ensenanza,"En la parábola del sembrador, ¿cuántos tipos de terreno se mencionan?",3,4,5,6,B,"Jesús describió la semilla cayendo en el camino, en pedregales, entre espinos y en buena tierra: cuatro tipos de terreno.",Mateo 13:3-8
88,Parábolas,intermedio,amor-projimo,"En la parábola del buen samaritano, ¿quién actuó como verdadero prójimo del hombre herido?",El sacerdote,El levita,El samaritano,Un fariseo,C,"A diferencia del sacerdote y el levita que pasaron de largo, el samaritano tuvo misericordia y cuidó al herido.",Lucas 10:33-37
89,Parábolas,intermedio,numeros-ensenanza,"En la parábola de las diez vírgenes, ¿cuántas eran prudentes y llevaban aceite de más?",3,5,7,10,B,"De las diez vírgenes, cinco eran prudentes y llevaron aceite extra para sus lámparas, y cinco fueron insensatas.",Mateo 25:1-4
90,Parábolas,intermedio,reino-valor,¿Qué parábola habla de un hombre que vendió todo lo que tenía para comprar un campo con un tesoro escondido?,La perla de gran precio,El tesoro escondido,La red,La higuera,B,"Jesús comparó el reino de los cielos con un tesoro escondido en un campo, por el cual un hombre vende todo para comprarlo.",Mateo 13:44
91,Genealogías,intermedio,familia-david,¿Cómo se llamaba el padre de David?,Obed,Isaí,Booz,Jesé (otro nombre de Isaí),B,"Isaí de Belén era el padre de David, el menor de sus ocho hijos.","1 Samuel 16:1,10-11"
92,Genealogías,intermedio,promesa-familia,"¿Quién fue el hijo de la promesa, nacido de Abraham y Sara en su vejez?",Ismael,Isaac,Jacob,Esaú,B,"Sara concibió y dio a luz a Isaac en su vejez, cumpliendo la promesa que Dios había hecho a Abraham.",Génesis 21:1-3
93,Personajes,intermedio,uncion,¿Qué profeta ungió tanto a Saúl como a David como reyes de Israel?,Natán,Samuel,Gad,Elías,B,"Samuel ungió primero a Saúl y luego, tras su rechazo, ungió a David como el rey escogido por Dios.",1 Samuel 10:1; 16:13
94,Genealogías,intermedio,familia-isaac,¿Cómo se llamaba la esposa de Isaac?,Rebeca,Lea,Raquel,Séfora,A,"Isaac se casó con Rebeca, quien fue hallada para él a través del siervo de Abraham.",Génesis 24:67
95,Genealogías,intermedio,primogenitura,¿Quién fue el hijo mayor de Isaac que vendió su primogenitura por un plato de guiso?,Jacob,Esaú,Rubén,Judá,B,"Esaú, agotado por el hambre, vendió su primogenitura a su hermano Jacob por pan y guiso de lentejas.",Génesis 25:29-34
96,Personajes,intermedio,division-reino,¿Quién fue el primer rey del reino del norte (Israel) tras la división del reino tras la muerte de Salomón?,Roboam,Jeroboam,Omri,Acab,B,Jeroboam fue proclamado rey de las diez tribus del norte cuando el reino se dividió tras la muerte de Salomón.,1 Reyes 12:20
97,Personajes,intermedio,division-reino,¿Quién fue el rey de Judá (reino del sur) cuando el reino se dividió?,Roboam,Jeroboam,Asa,Josafat,A,"Roboam, hijo de Salomón, quedó como rey de Judá tras la rebelión de las diez tribus del norte.",1 Reyes 12:17
98,Doctrina básica,intermedio,significado,¿Qué significa la palabra 'evangelio' usada en el Nuevo Testamento?,Ley antigua,Buenas nuevas,Profecía cumplida,Libro sagrado,B,"Evangelio significa 'buenas nuevas', el mensaje de salvación que predicó Jesucristo.","Marcos 1:1,14-15"
99,Números y datos curiosos,intermedio,canon,¿Cuántos libros componen el Nuevo Testamento?,24,27,39,66,B,"El Nuevo Testamento está compuesto por veintisiete libros, desde Mateo hasta Apocalipsis.",Referencia canónica general
100,Personajes,intermedio,autoria,"¿Qué apóstol, médico de profesión, escribió un evangelio y el libro de los Hechos?",Marcos,Lucas,Juan,Mateo,B,"Lucas, llamado 'el médico amado' por Pablo, escribió el evangelio de Lucas y el libro de los Hechos.",Colosenses 4:14
101,Geografía,intermedio,milagro-confrontacion,¿En qué monte Elías venció a los profetas de Baal con fuego del cielo?,Monte Sinaí,Monte Carmelo,Monte Tabor,Monte Nebo,B,"En el monte Carmelo, Elías desafió a los profetas de Baal, y Jehová respondió enviando fuego que consumió el sacrificio.",1 Reyes 18:19-39
102,Doctrina básica,intermedio,significado,¿Qué significa el título 'Mesías' o 'Cristo'?,Salvador,Ungido,Maestro,Rey eterno,B,"Mesías (hebreo) y Cristo (griego) significan 'ungido', refiriéndose al enviado escogido por Dios.",Juan 1:41
103,Personajes,intermedio,resurreccion-testigo,¿A quién se le apareció primero Jesús después de resucitar?,A Pedro,A María Magdalena,A Juan,A los once discípulos juntos,B,"Jesús se apareció primero a María Magdalena junto al sepulcro vacío, quien luego dio la noticia a los discípulos.",Juan 20:14-18
