"id","categoria","nivel","tags","pregunta","opcion_a","opcion_b","opcion_c","opcion_d","respuesta_correcta","explicacion","cita_biblica"
"16","Geografía","experto","josias-reforma-region","Además de Judá y Jerusalén, ¿en qué otras regiones actuó Josías contra la idolatría?","Egipto y Asiria","Manasés, Efraín, Simeón y hasta Neftalí","Babilonia y Persia","Moab y Amón","B","Josías hizo lo mismo en las ciudades de Manasés, Efraín, Simeón y hasta Neftalí.","2 Crónicas 34:6"
"17","Antiguo Testamento","intermedio","josias-reforma-region","¿Qué hizo Josías con los altares en toda la tierra de Israel antes de volver a Jerusalén?","Los dejó en pie","Los destruyó completamente","Los convirtió en templos","No hizo nada","B","Destruyó los altares y las imágenes de Asera en toda la tierra antes de regresar a Jerusalén.","2 Crónicas 34:7"
"18","Números y datos curiosos","avanzado","josias-templo","¿En qué año de su reinado mandó Josías reparar la casa de Jehová?","En el año doce","En el año dieciocho","En el año veinte","En el año treinta y uno","B","En el año dieciocho de su reinado, después de limpiar la tierra y la casa de Dios, mandó reparar el templo.","2 Crónicas 34:8"
"19","Antiguo Testamento","intermedio","josias-templo","¿Qué mandó hacer Josías después de limpiar la tierra y el templo de idolatría?","Reparar la casa de Jehová","Construir un palacio nuevo","Hacer la guerra a Egipto","Mudar la capital","A","Después de purificar la tierra y la casa, Josías mandó repararla.","2 Crónicas 34:8"
"20","Personajes","experto","josias-templo","¿A quiénes envió Josías para reparar la casa de Jehová?","Safán, Maasías y Joah","Hilcías, Hulda y Safán","Nehemías y Esdras","Sanbalat y Tobías","A","Envió a Safán hijo de Azalías, a Maasías gobernador de la ciudad y a Joah hijo de Joacaz, el canciller.","2 Crónicas 34:8"
"21","Personajes","experto","josias-templo","¿Quién era Safán, uno de los enviados a reparar el templo?","Hijo de Hilcías","Hijo de Azalías","Hijo de Josías","Hijo de Joacaz","B","Safán era hijo de Azalías.","2 Crónicas 34:8"
"22","Personajes","experto","josias-templo","¿Qué cargo tenía Maasías, uno de los enviados a reparar el templo?","Sumo sacerdote","Gobernador de la ciudad","Canciller","Profeta","B","Maasías era el gobernador de la ciudad.","2 Crónicas 34:8"
"23","Personajes","experto","josias-templo","¿Qué cargo tenía Joah, hijo de Joacaz, entre los enviados de Josías?","Gobernador","Sumo sacerdote","Canciller","Guarda de las vestiduras","C","Joah, hijo de Joacaz, era el canciller.","2 Crónicas 34:8"
"24","Personajes","intermedio","josias-templo","¿A quién entregaron primero el dinero recogido para reparar el templo?","A Hilcías, el sumo sacerdote","A la profetisa Hulda","Al rey Josías","A Safán el escriba","A","Los enviados del rey llegaron ante Hilcías, el sumo sacerdote, y le entregaron el dinero.","2 Crónicas 34:9"
"25","Números y datos curiosos","experto","josias-templo","¿De qué pueblos se había recogido el dinero para reparar el templo?","De Manasés, Efraín, el resto de Israel, Judá, Benjamín y Jerusalén","Solo de Jerusalén","Solo de los sacerdotes","De reyes extranjeros","A","El dinero fue recogido de Manasés, Efraín, el resto de Israel, todo Judá, Benjamín y los habitantes de Jerusalén.","2 Crónicas 34:9"
"26","Antiguo Testamento","intermedio","josias-templo","¿Para qué se entregó el dinero recogido a los que hacían la obra del templo?","Para pagar tributos","Para reparar y restaurar la casa de Jehová","Para comprar animales de sacrificio","Para pagar al ejército","B","El dinero se entregó a los encargados de reparar y restaurar la casa de Jehová.","2 Crónicas 34:10"
"27","Antiguo Testamento","avanzado","josias-templo","¿Qué compraron los obreros con el dinero para la reparación del templo?","Oro y plata","Piedra de cantería y madera para las junturas y las vigas","Animales para sacrificio","Vestiduras sacerdotales","B","Compraron piedra de cantería y madera para las junturas y las vigas de los edificios.","2 Crónicas 34:11"
"28","Personajes","experto","josias-templo-levitas","¿Qué grupo supervisaba fielmente la obra de reparación del templo?","Los sacerdotes","Los levitas","Los profetas","Los soldados","B","Los levitas supervisaban con fidelidad la obra de reparación.","2 Crónicas 34:12"
"29","Personajes","experto","josias-templo-levitas","Menciona a dos levitas, de los hijos de Merari, que supervisaban la obra del templo","Jahat y Abdías","Zacarías y Mesulam","Hilcías y Safán","Sanbalat y Tobías","A","Jahat y Abdías, de los hijos de Merari, estaban entre los supervisores de la obra.","2 Crónicas 34:12"
"30","Personajes","experto","josias-templo-levitas","Menciona a dos levitas, de los hijos de Coat, que supervisaban la obra del templo","Jahat y Abdías","Zacarías y Mesulam","Hilcías y Hulda","Safán y Joah","B","Zacarías y Mesulam, de los hijos de Coat, también supervisaban la obra.","2 Crónicas 34:12"
"31","Antiguo Testamento","avanzado","josias-templo-levitas","¿Qué otra habilidad tenían los levitas que ayudaban en la obra del templo?","Sabían leer hebreo antiguo","Sabían tocar instrumentos de música","Eran médicos","Eran soldados","B","Los levitas eran hábiles para tocar instrumentos de música.","2 Crónicas 34:12"
"32","Antiguo Testamento","principiante","josias-libro-ley","¿Qué encontró Hilcías mientras sacaban el dinero del templo?","Un tesoro de oro","El libro de la ley de Jehová dada por medio de Moisés","Una carta del rey de Babilonia","Las tablas de piedra originales","B","Hilcías el sacerdote halló el libro de la ley de Jehová dada por medio de Moisés.","2 Crónicas 34:14"
"33","Personajes","intermedio","josias-libro-ley","¿A quién le anunció Hilcías que había encontrado el libro de la ley?","Al rey Josías directamente","A Safán el escriba","A la profetisa Hulda","A Maasías","B","Hilcías le dijo a Safán el escriba que había hallado el libro de la ley en la casa de Jehová.","2 Crónicas 34:15"
"34","Antiguo Testamento","intermedio","josias-libro-ley","¿Qué hizo Safán con el libro que Hilcías le entregó?","Lo guardó en secreto","Lo llevó al rey y lo leyó delante de él","Lo destruyó","Se lo entregó a Hulda","B","Safán llevó el libro al rey y lo leyó delante de él.","2 Crónicas 34:18"
"35","Antiguo Testamento","intermedio","josias-libro-ley","Además de hablarle del libro hallado, ¿qué más informó Safán al rey?","El estado de la obra que se hacía en el templo","Las noticias de Babilonia","El censo del pueblo","Los nombres de los sacerdotes","A","Safán también le dio cuenta al rey de la obra que se hacía en la casa de Jehová.","2 Crónicas 34:16-17"
"36","Personajes","principiante","josias-libro-ley","¿Qué hizo el rey Josías al escuchar las palabras del libro de la ley?","Se alegró mucho","Rasgó sus vestidos","Mandó quemar el libro","Se durmió","B","Al oír las palabras de la ley, el rey rasgó sus vestidos.","2 Crónicas 34:19"
"37","Doctrina básica","avanzado","josias-libro-ley","¿Por qué rasgó Josías sus vestidos al oír la ley?","Porque se dio cuenta de que el pueblo no había cumplido la palabra de Jehová","Porque el libro estaba dañado","Porque perdió una batalla","Porque murió un familiar","A","Josías se afligió al comprender que el pueblo no había guardado la palabra de Jehová según lo escrito.","2 Crónicas 34:19-21"
"38","Antiguo Testamento","intermedio","josias-consulta-jehova","¿Qué mandó hacer el rey después de rasgar sus vestidos?","Enviar hombres a consultar a Jehová","Declarar la guerra","Destruir el libro","Exiliar a Hilcías","A","Josías mandó a varios hombres a consultar a Jehová acerca de las palabras del libro hallado.","2 Crónicas 34:20-21"
"39","Personajes","experto","josias-consulta-jehova","Menciona a uno de los hombres que Josías envió a consultar a Jehová","Ahicam hijo de Safán","Nehemías","Esdras","Tobías","A","Entre los enviados estaban Hilcías, Ahicam hijo de Safán, Abdón, Safán el escriba y Asaías.","2 Crónicas 34:20"
"40","Doctrina básica","avanzado","josias-consulta-jehova","¿Por qué mandó Josías consultar a Jehová sobre las palabras del libro?","Porque era grande la ira de Jehová derramada sobre ellos por no guardar su palabra","Por simple curiosidad","Porque el libro estaba incompleto","Porque se lo pidió Hulda","A","Josías reconoció que la ira de Jehová era grande porque sus padres no habían guardado la palabra de Jehová.","2 Crónicas 34:21"
"41","Personajes","intermedio","josias-hulda","¿A quién consultaron los enviados del rey Josías?","A la profetisa Hulda","Al profeta Jeremías","Al sumo sacerdote de Egipto","A un ángel","A","Hilcías y los demás enviados fueron a consultar a la profetisa Hulda.","2 Crónicas 34:22"
"42","Geografía","avanzado","josias-hulda","¿Dónde vivía la profetisa Hulda?","En Belén","En Jerusalén, en el segundo barrio","En Samaria","En Babilonia","B","Hulda vivía en Jerusalén, en el segundo barrio de la ciudad.","2 Crónicas 34:22"
"43","Personajes","experto","josias-hulda","¿Quién era el esposo de la profetisa Hulda?","Hilcías el sumo sacerdote","Salum, guarda de las vestiduras","Safán el escriba","Joah el canciller","B","Hulda era mujer de Salum, guarda de las vestiduras.","2 Crónicas 34:22"
"44","Doctrina básica","avanzado","josias-hulda","¿Qué anunció Hulda de parte de Jehová sobre Jerusalén y sus habitantes?","Que serían bendecidos con riquezas","Que Jehová traería desastre sobre ese lugar","Que Josías sería depuesto","Que vendría un profeta nuevo","B","Hulda anunció que Jehová traería desastre sobre ese lugar y sus habitantes.","2 Crónicas 34:24"
"45","Doctrina básica","avanzado","josias-hulda","Según Hulda, ¿por qué vendría ese desastre sobre Jerusalén?","Porque el pueblo dejó a Jehová y ofreció incienso a otros dioses","Porque el rey era muy joven","Porque no pagaron impuestos","Porque perdieron una guerra","A","El desastre vendría porque el pueblo abandonó a Jehová y ofreció sacrificios a dioses ajenos.","2 Crónicas 34:25"
"46","Doctrina básica","experto","josias-hulda","¿Por qué prometió Dios que Josías no vería el desastre que vendría sobre Jerusalén?","Porque era el rey","Porque su corazón se humilló y lloró delante de Dios al oír la ley","Porque construyó el templo","Porque era descendiente de David","B","Por haberse humillado y llorado delante de Jehová al oír la ley, Josías no vería el desastre.","2 Crónicas 34:27"
"47","Doctrina básica","avanzado","josias-hulda","Según la profecía de Hulda, ¿cómo moriría Josías?","En una gran batalla","En paz, sin ver el desastre venidero","En el exilio","De una enfermedad larga","B","Hulda profetizó que Josías sería reunido con sus padres en paz, sin ver el desastre venidero.","2 Crónicas 34:28"
"48","Antiguo Testamento","intermedio","josias-pacto","¿Qué hizo Josías después de recibir la respuesta de la profetisa Hulda?","Reunió a los ancianos de Judá y Jerusalén","Se escondió","Abandonó el trono","Destruyó el templo","A","El rey reunió a todos los ancianos de Judá y de Jerusalén.","2 Crónicas 34:29"
"49","Antiguo Testamento","intermedio","josias-pacto","¿Qué leyó Josías delante de todo el pueblo reunido en la casa de Jehová?","Una carta del rey de Egipto","Todas las palabras del libro del pacto hallado en el templo","Una lista de impuestos","Los nombres de los sacerdotes","B","Josías leyó todas las palabras del libro del pacto que había sido hallado en la casa de Jehová.","2 Crónicas 34:30"
"50","Doctrina básica","intermedio","josias-pacto","¿Qué prometió Josías en el pacto que hizo delante de Jehová?","Construir un templo nuevo","Caminar en pos de Jehová y guardar sus mandamientos con todo su corazón","Conquistar nuevas tierras","Aumentar los impuestos","B","Josías se comprometió a caminar en pos de Jehová y guardar sus mandamientos con todo su corazón y su alma.","2 Crónicas 34:31"
"51","Antiguo Testamento","avanzado","josias-pacto","¿A quiénes hizo Josías participar en el pacto que hizo delante de Jehová?","Solo a los sacerdotes","A todos los presentes en Jerusalén y Benjamín","Solo a su familia","A los reyes vecinos","B","Hizo que todos los que estaban en Jerusalén y Benjamín participaran del pacto.","2 Crónicas 34:32"
"52","Antiguo Testamento","intermedio","josias-pacto","¿Qué logró Josías respecto al pueblo durante todos los días de su reinado?","Que el pueblo no se apartara de seguir a Jehová","Que el pueblo se hiciera rico","Que el pueblo dejara de sacrificar animales","Que el pueblo se mudara de ciudad","A","Durante todos sus días, el pueblo no se apartó de seguir a Jehová, el Dios de sus padres.","2 Crónicas 34:33"
"53","Números y datos curiosos","intermedio","nehemias-contexto","¿Quién era el padre de Nehemías?","Hacalías","Artajerjes","Sanbalat","Hilcías","A","El libro comienza diciendo: las palabras de Nehemías hijo de Hacalías.","Nehemías 1:1"
"54","Números y datos curiosos","intermedio","nehemias-contexto","¿En qué mes ocurrieron los sucesos del capítulo 1 de Nehemías?","Nisán","Quisleu","Tisrí","Adar","B","Sucedió en el mes de Quisleu, en el año veinte.","Nehemías 1:1"
"55","Geografía","principiante","nehemias-contexto","¿En qué ciudad se encontraba Nehemías cuando comienza el relato?","Jerusalén","Babilonia","Susa, la capital","Samaria","C","Nehemías se encontraba en Susa, la capital (fortaleza) del imperio persa.","Nehemías 1:1"
"56","Personajes","intermedio","nehemias-contexto","¿Quién vino a visitar a Nehemías con noticias de Judá?","El rey Artajerjes","Jananí, uno de sus hermanos","Sanbalat el horonita","El profeta Esdras","B","Vino Jananí, uno de sus hermanos, junto con unos hombres de Judá.","Nehemías 1:2"
"57","Antiguo Testamento","principiante","nehemias-contexto","¿Qué le preguntó Nehemías a Jananí y a los hombres de Judá?","Por el precio del grano","Por los judíos que habían escapado del cautiverio y por Jerusalén","Por el ejército persa","Por su propia familia","B","Les preguntó por los judíos que habían escapado y sobrevivido, y por Jerusalén.","Nehemías 1:2"
"58","Antiguo Testamento","intermedio","nehemias-contexto","¿Qué le respondieron a Nehemías sobre los judíos que sobrevivieron el cautiverio?","Que vivían en paz y prosperidad","Que estaban en gran mal y afrenta","Que habían vuelto a Babilonia","Que se habían mudado a Egipto","B","Le dijeron que el remanente que quedó de la cautividad estaba en gran mal y afrenta.","Nehemías 1:3"
"59","Geografía","principiante","nehemias-contexto","¿Qué le dijeron a Nehemías sobre el muro de Jerusalén?","Que estaba recién construido","Que estaba derribado","Que era el más alto de la región","Que no existía","B","Le informaron que el muro de Jerusalén estaba derribado.","Nehemías 1:3"
"60","Geografía","principiante","nehemias-contexto","¿Qué le dijeron a Nehemías sobre las puertas de Jerusalén?","Que estaban abiertas de par en par","Que habían sido quemadas a fuego","Que eran nuevas","Que estaban bien guardadas","B","Le dijeron que las puertas de la ciudad habían sido quemadas a fuego.","Nehemías 1:3"
"61","Personajes","principiante","nehemias-oracion","¿Qué hizo Nehemías al oír estas noticias sobre Jerusalén?","Se enojó con sus hermanos","Se sentó y lloró","Organizó un ejército de inmediato","No le importó","B","Al oír estas palabras, Nehemías se sentó y lloró.","Nehemías 1:4"
"62","Doctrina básica","intermedio","nehemias-oracion","¿Qué hizo Nehemías durante varios días después de recibir la noticia?","Hizo duelo, ayunó y oró delante del Dios de los cielos","Organizó una fiesta","Viajó de inmediato a Jerusalén","Renunció a su cargo","A","Hizo duelo por varios días, ayunando y orando delante del Dios de los cielos.","Nehemías 1:4"
"63","Doctrina básica","principiante","nehemias-oracion","¿Ante quién oró Nehemías tras escuchar las noticias de Jerusalén?","Ante el rey Artajerjes","Ante el Dios de los cielos","Ante el sumo sacerdote","Ante los ancianos del pueblo","B","Nehemías oró ante el Dios de los cielos.","Nehemías 1:4"
"64","Números y datos curiosos","intermedio","nehemias-rey","¿En qué mes ocurrió la conversación de Nehemías con el rey, en el capítulo 2?","Quisleu","Nisán","Tisrí","Elul","B","Sucedió en el mes de Nisán, en el año veinte del rey Artajerjes.","Nehemías 2:1"
"65","Personajes","principiante","nehemias-rey","¿Quién era el rey en los días de Nehemías?","Ciro","Artajerjes","Darío","Nabucodonosor","B","El rey era Artajerjes.","Nehemías 2:1"
"66","Personajes","intermedio","nehemias-oficio","¿Qué cargo ocupaba Nehemías en el palacio del rey?","Escriba","Copero del rey","Sumo sacerdote","Gobernador","B","Nehemías servía como copero del rey, entregándole el vino.","Nehemías 2:1"
"67","Antiguo Testamento","intermedio","nehemias-rey","¿Qué notó el rey en el rostro de Nehemías?","Que estaba muy alegre","Que estaba triste","Que estaba enfermo","Que estaba dormido","B","El rey notó que Nehemías tenía el rostro triste, aunque no antes había estado así en su presencia.","Nehemías 2:1-2"
"68","Doctrina básica","intermedio","nehemias-rey","¿Cómo se sintió Nehemías cuando el rey notó su tristeza?","Tranquilo","Tuvo mucho miedo","Indiferente","Orgulloso","B","Nehemías tuvo mucho miedo al ser cuestionado por el rey.","Nehemías 2:2"
"69","Antiguo Testamento","intermedio","nehemias-rey","¿Qué explicación le dio Nehemías al rey sobre su tristeza?","Que estaba enfermo","Que la ciudad de los sepulcros de sus padres estaba desierta y sus puertas quemadas","Que había perdido dinero","Que extrañaba su casa","B","Le explicó que la ciudad donde estaban los sepulcros de sus padres estaba desierta y sus puertas quemadas.","Nehemías 2:3"
"70","Antiguo Testamento","principiante","nehemias-rey","¿Qué le preguntó el rey a Nehemías después de escuchar su explicación?","Qué era lo que pedía","Quién lo había entristecido","Cuánto dinero tenía","Si quería renunciar","A","El rey le preguntó qué era lo que pedía.","Nehemías 2:4"
"71","Doctrina básica","intermedio","nehemias-rey","¿Qué hizo Nehemías antes de responder al rey qué era lo que pedía?","Consultó a sus hermanos","Oró al Dios de los cielos","Pidió tiempo para pensar","Se negó a responder","B","Antes de responder, Nehemías oró al Dios de los cielos.","Nehemías 2:4"
"72","Antiguo Testamento","intermedio","nehemias-peticion","¿Qué le pidió Nehemías al rey?","Que lo enviara a Judá para reconstruir la ciudad de los sepulcros de sus padres","Más vino para el palacio","Un ejército para conquistar tierras","Un cargo más alto en la corte","A","Pidió que lo enviara a Judá, a la ciudad de los sepulcros de sus padres, para reedificarla.","Nehemías 2:5"
"73","Personajes","avanzado","nehemias-rey","¿Quién estaba sentada junto al rey durante la conversación con Nehemías?","La reina","La madre del rey","La hija del rey","Una profetisa","A","La reina estaba sentada al lado del rey durante la conversación.","Nehemías 2:6"
"74","Antiguo Testamento","intermedio","nehemias-rey","¿Qué le preguntaron el rey y la reina a Nehemías?","Cuánto duraría su viaje y cuándo volvería","Cuánto dinero necesitaba","Quién lo acompañaría","Por qué motivo no había hablado antes","A","Le preguntaron cuánto duraría su viaje y cuándo regresaría.","Nehemías 2:6"
"75","Antiguo Testamento","avanzado","nehemias-peticion","Además de ir a Judá, ¿qué otra cosa pidió Nehemías al rey?","Cartas para los gobernadores del otro lado del río","Un nuevo palacio","Soldados para su familia","Oro y plata","A","Pidió cartas para los gobernadores de la provincia al otro lado del río, para que le dieran paso seguro.","Nehemías 2:7"
"76","Personajes","experto","nehemias-peticion","¿A quién más le pidió Nehemías una carta para conseguir madera?","A Sanbalat","A Asaf, guarda del bosque del rey","A Tobías","A la reina","B","Pidió una carta para Asaf, guarda del bosque del rey, para que le diera madera.","Nehemías 2:8"
"77","Antiguo Testamento","avanzado","nehemias-peticion","¿Para qué pidió Nehemías la madera al guarda del bosque del rey?","Para las vigas de las puertas de la fortaleza, el muro y su propia casa","Para construir un barco","Para hacer muebles","Para vender en el mercado","A","Pidió madera para hacer vigas para las puertas de la fortaleza del templo, para el muro de la ciudad y para la casa que ocuparía.","Nehemías 2:8"
"78","Doctrina básica","intermedio","nehemias-peticion","¿Por qué concedió el rey las peticiones de Nehemías?","Porque le tenía miedo","Porque la buena mano de Dios estaba sobre Nehemías","Porque Nehemías le pagó","Porque era su pariente","B","El texto atribuye que el rey se las concediera a que la buena mano de Dios estaba sobre él.","Nehemías 2:8"
"79","Antiguo Testamento","avanzado","nehemias-viaje","¿Qué envió el rey junto con Nehemías además de las cartas?","Capitanes del ejército y gente de a caballo","Solo dinero","Nada más","Una carta de rechazo secreta","A","El rey envió con él capitanes del ejército y gente de a caballo.","Nehemías 2:9"
"80","Personajes","intermedio","nehemias-oposicion","¿Quiénes se disgustaron al saber que alguien había venido a buscar el bien de los hijos de Israel?","Sanbalat el horonita y Tobías el siervo amonita","Los sacerdotes de Jerusalén","El rey Artajerjes","Los ancianos de Judá","A","A Sanbalat el horonita y a Tobías el siervo amonita les disgustó en gran manera.","Nehemías 2:10"
"81","Números y datos curiosos","intermedio","nehemias-jerusalen","¿Cuántos días permaneció Nehemías en Jerusalén antes de inspeccionar el muro?","Un día","Tres días","Siete días","Un mes","B","Estuvo en Jerusalén tres días antes de salir a inspeccionar el muro.","Nehemías 2:11"
"82","Antiguo Testamento","intermedio","nehemias-inspeccion","¿Cuándo salió Nehemías a inspeccionar el muro de Jerusalén?","Al mediodía","De noche","Al amanecer","En la tarde","B","Se levantó de noche para inspeccionar el muro, con unos pocos hombres.","Nehemías 2:12"
"83","Doctrina básica","avanzado","nehemias-inspeccion","¿A quién le contó Nehemías lo que Dios había puesto en su corazón antes de inspeccionar el muro?","A todos los sacerdotes","A nadie","Solo al rey","A Sanbalat","B","No dijo a nadie lo que Dios le había puesto en el corazón hacer por Jerusalén.","Nehemías 2:12"
"84","Geografía","avanzado","nehemias-inspeccion","Menciona uno de los lugares que Nehemías inspeccionó de noche en el muro","La puerta del Valle","La puerta de Damasco","La torre de David","El monte de los Olivos","A","Entre los lugares que recorrió de noche estaba la puerta del Valle.","Nehemías 2:13"
"85","Geografía","experto","nehemias-inspeccion","Menciona otro de los lugares que Nehemías inspeccionó de noche en el muro","La fuente del Dragón","El mar de Galilea","El monte Sinaí","El río Jordán","A","También recorrió la fuente del Dragón y la puerta del Muladar.","Nehemías 2:13"
"86","Antiguo Testamento","intermedio","nehemias-llamado","¿Qué les dijo Nehemías a los oficiales después de inspeccionar el muro?","Que todo estaba en orden","Que vieran el mal en que estaban, con Jerusalén desierta y sus puertas quemadas","Que debían pagar más impuestos","Que el rey estaba enojado","B","Les mostró la situación: Jerusalén desierta y sus puertas quemadas a fuego.","Nehemías 2:17"
"87","Antiguo Testamento","principiante","nehemias-llamado","¿Qué invitó Nehemías a hacer a los oficiales y al pueblo?","A rendirse ante Babilonia","A reedificar el muro de Jerusalén","A mudarse a otra ciudad","A esperar noticias del rey","B","Los invitó diciendo: Venid, y reedifiquemos el muro de Jerusalén.","Nehemías 2:17"
"88","Doctrina básica","intermedio","nehemias-llamado","¿Qué razón dio Nehemías para reconstruir el muro de Jerusalén?","Para que no fueran más motivo de oprobio","Para cobrar más impuestos","Para impresionar a otros reyes","Para tener más soldados","A","Dijo que así ya no estarían más en oprobio.","Nehemías 2:17"
"89","Antiguo Testamento","intermedio","nehemias-llamado","¿Qué le contó Nehemías al pueblo para animarlos a construir el muro?","Cómo la mano de Dios había sido buena sobre él y las palabras del rey","Sus planes de viaje","La historia de Josías","Los nombres de sus enemigos","A","Les contó cómo la mano de Dios había sido buena sobre él y también las palabras que el rey le había dicho.","Nehemías 2:18"
"90","Antiguo Testamento","principiante","nehemias-llamado","¿Qué respondió el pueblo a la propuesta de Nehemías de reconstruir el muro?","Se negaron","Dijeron: levantémonos y edifiquemos","Pidieron más tiempo","Huyeron de la ciudad","B","El pueblo respondió: levantémonos y edifiquemos. Así esforzaron sus manos para bien.","Nehemías 2:18"
"91","Doctrina básica","intermedio","nehemias-llamado","¿Qué hicieron los oficiales y el pueblo después de aceptar reconstruir el muro?","Esforzaron sus manos para bien","Se dividieron en grupos rivales","Esperaron la aprobación de Sanbalat","Enviaron mensajeros a Egipto","A","Esforzaron sus manos para bien, es decir, se animaron y comprometieron con la obra.","Nehemías 2:18"
"92","Doctrina básica","avanzado","nehemias-caracter","¿Qué actitud mostró Nehemías al enterarse de la situación de Jerusalén?","Indiferencia","Tristeza, ayuno y oración","Enojo contra Dios","Deseo de venganza inmediata","B","Mostró tristeza profunda, ayunó y oró antes de actuar.","Nehemías 1:4"
"93","Doctrina básica","avanzado","nehemias-caracter","¿Qué mostró Nehemías al atreverse a pedirle algo al rey, a pesar del miedo?","Cobardía","Valentía y confianza en Dios","Desobediencia","Indiferencia","B","A pesar de tener miedo, Nehemías oró y confió en Dios antes de hablar con el rey.","Nehemías 2:4-5"
"94","Doctrina básica","experto","nehemias-caracter","¿Qué muestra el hecho de que Nehemías inspeccionara el muro de noche y sin avisar a nadie?","Que actuaba con prudencia y planificación","Que desconfiaba de Dios","Que quería quedarse con el crédito","Que temía a los oficiales","A","Nehemías actuó con prudencia, evaluando la situación antes de proponer un plan al pueblo.","Nehemías 2:12-16"
"95","Geografía","principiante","nehemias-contexto","¿Qué representaba Jerusalén para Nehemías, según lo que le dijo al rey?","Era una ciudad cualquiera","Era la ciudad de los sepulcros de sus padres","Era su lugar de nacimiento","Era la capital del imperio persa","B","Nehemías la describió como la ciudad de los sepulcros de sus padres.","Nehemías 2:3"
